295,"TAP_HIGH_FORETUNEKING_DELUXE_BET_PANEL,"
296,"ENTER_HIGH_FORETUNEKING_DELUXE,"
297,"ENTER_HR_LOBBY,"
298,"VIEW_TACO_FIRST_PURCHASE,跳Taco包，但因為尚未儲值過，所以是首儲包"
299,"CLOSE_TACO_FIRST_PURCHASE,關閉Taco包，但因為尚未儲值過，所以是首儲包"
300,"OC_CLICK_RESALE_CLOSE,在海王裡跳再銷包"
301,"OC_CLICK_TACO_CLOSE,在海王裡跳Taco包"
302,"OC_CLICK_TACO_FIRST_PURCHASE_CLOSE,在海王裡關閉Taco包，但因為尚未儲值過，所以是首儲包"
303,"TAP_ON_RATE_OUR_APP,點擊軟體商店評分"
304,"TAP_ON_E_COUPON,點擊e-coupon"
305,"CONFIRM_DEFINITELY_THE_LANGUAGE,確認轉換語言並重進遊戲或重進大廳"
306,"TAP_RFRSTRENGTHOFRAIN， //306 rfrstrengthofrain,"
307,"DOWNLOAD_RFRSTRENGTHOFRAIN,"
308,"TAP_RFRSTRENGTHOFRAIN_BET_PANEL,"
309,"ENTER_RFRSTRENGTHOFRAIN,"
310,"TAP_LAUGHING_FORTUNE,"
311,"DOWNLOAD_LAUGHING_FORTUNE,"
312,"TAP_LAUGHING_FORTUNE_BET_PANEL,"
313,"ENTER_LAUGHING_FORTUNE,"
314,"TAP_3EMPERORS_SHUN,"
315,"DOWNLOAD_3EMPERORS_SHUN,"
316,"TAP_3EMPERORS_SHUN_BET_PANEL,"
317,"ENTER_3EMPERORS_SHUN,"
318,"TAP_THETHIRDPRINCE,"
319,"DOWNLOAD_THETHIRDPRINCE,"
320,"TAP_THETHIRDPRINCE_BET_PANEL,"
321,"ENTER_THETHIRDPRINCE,"
322,"CHEAT_PLEAYER_RECOVERY_FILE_MD5_MODIFY,被標記為作弊玩家的RecoveryFile的MD5變了"
323,"CHEAT_PLEAYER_RECOVERY_FILE_MD5_NOT_MODIFY_BUT_DELETE,被標記為作弊玩家的RecoveryFile的MD5沒變，但為了防止其他作弊方式所以一律刪除"
324,"TAP_TEMPLEOFJADE,"
325,"DOWNLOAD_TEMPLEOFJADE,"
326,"TAP_TEMPLEOFJADE_BET_PANEL,"
327,"ENTER_TEMPLEOFJADE,"
328,"VIEW_POP_UP_TREASURE_BOWL_SCREEN,顯示聚寶盆活動POP-UP"
329,"CLICK_BUY_POP_UP_TREASURE_BOWL_SCREEN,點擊聚寶盆活動POP-UP BUY按鈕"
330,"CLOSE_POP_UP_TREASURE_BOWL_SCREEN,點擊聚寶盆活動POP-UP CLOSE按鈕"
331,"TAP_WILDPANDAGOLD,"
332,"DOWNLOAD_WILDPANDAGOLD,"
333,"TAP_WILDPANDAGOLD_BET_PANEL,"
334,"ENTER_WILDPANDAGOLD,"
335,"PASS_CARD_FIRST_SHOW_SCREEN,未訂閱的狀態下第一次進入大廳自動跳出POP-UP"
336,"PASS_CARD_CLICK_PROFILE_NOTBUY,未訂閱的狀態下點擊Profile頁面的月卡ICON按鈕"
337,"PASS_CARD_CLICK_PROFILE_BUY,訂閱的狀態下點擊Profile頁面的月卡ICON按鈕"
338,"PASS_CARD_CLICK_TABBTN_NOTBUY,未訂閱的狀態下點擊購幣頁的月卡分頁按鈕"
339,"PASS_CARD_CLICK_TABBTN_BUY,訂閱的狀態下點擊購幣頁的月卡分頁按鈕"
340,"BET_MEMORY_CHANGE,紀錄Bet的記憶體是否被玩家修改"
341,"TAP_FORTUNEPRINCESS,福運公主"
342,"DOWNLOAD_FORTUNEPRINCESS,福運公主"
343,"TAP_FORTUNEPRINCESS_BET_PANEL,福運公主"
344,"ENTER_FORTUNEPRINCESS,福運公主"
345,"CLICK_FISHHUNTER,點擊魚機大廳入口"
346,"BUNDLE_COMPLETE_FISHHUNTER,//下載完畢的Log"
347,"LOCK_FISHHUNTER,//點擊鎖魚的Log"
348,"FISHERROR_CONNECT_FISHHUNTER,//建立連線錯誤"
349,"FISHERROR_FISHHUNTER,//網路錯誤Log"
350,"BUNDLE_FAIL_FISHHUNTER,//Bundle下載失敗"
351,"ENTER_FISHHUNTER_JUNIOR,//進入魚場Log"
352,"TAP_DOLPHINSNIGHT,"
353,"DOWNLOAD_DOLPHINSNIGHT,"
354,"TAP_WDOLPHINSNIGHT_BET_PANEL,"
355,"ENTER_DOLPHINSNIGHT,"
356,"TAP_WILDWEDDING,"
357,"DOWNLOAD_WILDWEDDING,"
358,"TAP_WILDWEDDING_BET_PANEL,"
359,"ENTER_WILDWEDDING,"
360,"TAP_HOMERUNBASEBALL,"
361,"DOWNLOAD_HOMERUNBASEBALL,"
362,"TAP_HOMERUNBASEBALL_BET_PANEL,"
363,"ENTER_HOMERUNBASEBALL,"
364,"TAP_LOSTEGYPT,"
365,"DOWNLOAD_LOSTEGYPT,"
366,"TAP_LOSTEGYPT_BET_PANEL,"
367,"ENTER_LOSTEGYPT,"
368,"TAP_HELLODOGGY,"
369,"DOWNLOAD_HELLODOGGY,"
370,"TAP_HELLODOGGY_BET_PANEL,"
371,"ENTER_HELLODOGGY,"
372,"TAP_FORTUNEPANDA,"
373,"DOWNLOAD_FORTUNEPANDA,"
374,"TAP_FORTUNEPANDA_BET_PANEL,"
375,"ENTER_FORTUNEPANDA,"
376,"TAP_SAYURI,"
377,"DOWNLOAD_SAYURI,"
378,"TAP_SAYURI_BET_PANEL,"
379,"ENTER_SAYURI,"
380,"TAP_GOLDENTIGER,"
381,"DOWNLOAD_GOLDENTIGER,"
382,"TAP_GOLDENTIGER_BET_PANEL,"
383,"ENTER_GOLDENTIGER,"
384,"TAP_MONEYMAGE,"
385,"DOWNLOAD_MONEYMAGE,"
